Funding Org: Identifier,Funding Org: Name,Recipient Org:Identifier,Recipient Org: Name,Identifier,Recipient Org: Street Address,Recipient Org: City,Recipient Org: State,Recipient Org: Postal Code,Recipient Org: Country, Amount Awarded ,Currency,Award Date,Fiscal Year,Description,Classifications: Title,Beneficiary Location: Name,Title,Fiscal Sponsor,URL,Grant-related Publications,Last Modified
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuFu,1000 Friends of Wisconsin Land Use Institute,360G-quixote-0064000000DRXLSAA5,16 North Caroll St. Suite 810,Madison,WI,53703,United States," 2,000.00 ",USD,19/09/2001,2001,Project Support - Nolen in the New Century,Environmental Protection,Wisconsin,1000 Friends of Wisconsin Land Use Institute Inc 9/19/2001,,http://www.1kfriends.org/,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuFu,1000 Friends of Wisconsin Land Use Institute,360G-quixote-0064000000DRXbTAAX,16 North Caroll St. Suite 810,Madison,WI,53703,United States," 5,000.00 ",USD,24/05/2002,2002,Public Education Concerning Inclusionary Zone - David Rusk Study,Environmental Protection,Wisconsin,1000 Friends of Wisconsin Land Use Institute Inc 2002 Grant,,http://www.1kfriends.org/,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000iZBLp,Advocates for Youth,360G-quixote-0064000000OCBe7AAH,"2000 M Street NW, Suite 750",Washington,DC,20036,United States," 25,000.00 ",USD,17/09/2012,2012,General Operating Support for Advocates for Youth's ongoing domestic efforts to provide adolescents with the tools they need to make informed decisions about their reproductive health,Reproductive Rights,U.S.,Advocates for Youth 2012 Thank you Grant,,http://www.advocatesforyouth.org,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000001ZZeeV,Alabama Coalition for Immigrant Justice,360G-quixote-0063300000f296TAAQ,117 S Crest Dr. Homewood,Birmingham,AL,35209,United States," 25,000.00 ",USD,17/06/2015,2015,To support the Greater Birmingham Ministries for the Alabama Coalition for Immigrant Justice,Racial Equity,Alabama,Alabama Coalition for Immigrant Justice 2015 Grant,Greater Birmingham Ministries,http://www.acij.net,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000001ZZeeV,Alabama Coalition for Immigrant Justice,360G-quixote-0063300000htUl9AAE,117 S Crest Dr. Homewood,Birmingham,AL,35209,United States," 25,000.00 ",USD,26/01/2016,2016,To support the Greater Birmingham Ministries for the Alabama Coalition for Immigrant Justice,Racial Equity,Alabama,Alabama Coalition for Immigrant Justice 2016 Grant,Greater Birmingham Ministries,http://www.acij.net,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuFv,Aldo Leopold Nature Center,360G-quixote-0064000000DRXQdAAP,300 Femrite Dr.,Monona,WI,53716,United States," 10,000.00 ",USD,01/08/2002,2002,Educational Program - Growing Knee-High Naturalists,Environmental Protection,Wisconsin,Aldo Leopold Nature Center 2002 Grant,,http://www.naturenet.com,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuFv,Aldo Leopold Nature Center,360G-quixote-0064000000CWCm2AAH,300 Femrite Dr.,Monona,WI,53716,United States," 25,000.00 ",USD,22/04/2008,2008,Project Support - Acorn to Oaks Campaign,Environmental Protection,Wisconsin,Aldo Leopold Nature Center 4/22/2008,,http://www.naturenet.com,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuHH,Alliance for Justice,360G-quixote-0064000000brnLPAAY,11 Dupont Circle NW Second Floor,Washington,DC,20036,United States," 25,000.00 ",USD,01/01/2003,2003,"General Operating Support, to ensure our democracy is fair and just","Fair Democracy, Civic Justice",U.S.,Alliance for Justice 2003 Grant,,http://www.allianceforjustice.org,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuHH,Alliance for Justice,360G-quixote-0064000000CWCl2AAH,11 Dupont Circle NW Second Floor,Washington,DC,20036,United States," 60,000.00 ",USD,20/10/2005,2005,"General Operating Support, to ensure our democracy is fair and just","Fair Democracy, Civic Justice",U.S.,Alliance for Justice 10/20/2005,,http://www.allianceforjustice.org,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0013300001oaCTP,Alternate ROOTS,360G-quixote-0063300000krqRwAAI,115 Martin Luther King Jr Dr Suite 200,Atlanta,GA,30303,United States," 100,000.00 ",USD,25/10/2016,2016,General Operating Support - Alternate ROOTS 2016 Grant,"Racial Equity, Arts Organizing",U.S.,Alternate ROOTS 2016 Grant,,https://alternateroots.org/,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGP,American Civil Liberties Union Foundation of Florida,360G-quixote-0064000000DRcGxAAL,"4500 Biscayne Blvd, Ste 340",Miami,FL,33137,United States," 3,500.00 ",USD,26/05/2004,2004,To support the Election Verification Project,Election Integrity,Florida,ACLU Foundation of Florida 2004 Grant,,http://www.aclufl.org,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuFw,American Farmland Trust,360G-quixote-0064000000DRXgVAAX,"1200 18th Street NW, Suite 800",Washington,DC,20036,United States," 7,500.00 ",USD,01/08/2002,2002,Valley Preservation Project - Black Earth Creek,"Environmental Protection, Sustainable Agriculture",U.S.,American Farmland Trust 2002 Grant,,http://www.farmland.org,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuFT,American Friends Service Committee,360G-quixote-0064000000DRqEbAAL,1501 Cherry Street,Philadelphia,PA,19102-1479,United States," 10,000.00 ",USD,28/12/1999,1999,General operating support,Economic Justice,U.S.,American Friends Service Committee 1999 Grant,,http://www.afsc.org,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000Ipwi1,Art Resources International,360G-quixote-0064000000DS8JKAA1,5813 Nevada Avenue NW,Washington,DC,20015,United States," 133,834.00 ",USD,18/02/2009,2009,Strategic Research & Program Development,"Election Integrity, Media Reform, Civic Engagement",U.S.,Art Resources International 2/18/2009,,,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000Ipwi1,Art Resources International,360G-quixote-0064000000DwZdMAAV,5813 Nevada Avenue NW,Washington,DC,20015,United States," 250,500.00 ",USD,29/01/2010,2010,2010 Media and Civic Engagement Research,"Election Integrity, Media Reform, Civic Engagement",U.S.,Art Resources International 2010 Grant,,,,12/04/2019 16:36
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000Ipwi1,Art Resources International,360G-quixote-0064000000Hk8j3AAB,5813 Nevada Avenue NW,Washington,DC,20015,United States," 250,500.00 ",USD,07/03/2011,2011,Strategic Reserach and Program Development,"Election Integrity, Media Reform, Civic Engagement",U.S.,Art Resources International 2011 Grant,,,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000Ipwi1,Art Resources International,360G-quixote-0064000000L5Tq5AAF,5813 Nevada Avenue NW,Washington,DC,20015,United States," 274,604.16 ",USD,06/02/2012,2012,Strategic Research & Program Development,"Election Integrity, Media Reform",U.S.,Art Resources International 2012 Grant,,,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000Ipwi1,Art Resources International,360G-quixote-0064000000PyYU5AAN,5813 Nevada Avenue NW,Washington,DC,20015,United States," 265,500.00 ",USD,06/02/2014,2013,Strategic Research & Program Development,"Election Integrity, Media Reform",U.S.,Art Resources International 2013 Grant,,,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000Ipwi1,Art Resources International,360G-quixote-0064000000UPFkpAAH,5813 Nevada Avenue NW,Washington,DC,20015,United States," 220,500.00 ",USD,03/02/2014,2014,Philanthropic and Grantee Engagement,"Election Integrity, Media Reform, Philanthropy",U.S.,Art Resources International 2014 Grant,,,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000Ipwi1,Art Resources International,360G-quixote-0064000000bvKOrAAM,5813 Nevada Avenue NW,Washington,DC,20015,United States," 190,500.00 ",USD,21/12/2014,2015,Philanthropic and Grantee Engagement,"Election Integrity, Media Reform, Philanthropy",U.S.,Art Resources International 2015 Grant,,,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000Ipwi1,Art Resources International,360G-quixote-0063300000huHrOAAU,5813 Nevada Avenue NW,Washington,DC,20015,United States," 150,500.00 ",USD,17/02/2016,2016,Philanthropic and Grantee Engagement,"Election Integrity, Media Reform",U.S.,Art Resources International 2016 Grant,,,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000Ipwi1,Art Resources International,360G-quixote-0063300000ktIugAAE,5813 Nevada Avenue NW,Washington,DC,20015,United States," 100,000.00 ",USD,20/12/2016,2017,ARI General Operating Support,Media Reform,U.S.,Art Resources International 2017 Grant,,,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuH2,Arts Wisconsin,360G-quixote-0064000000CWClDAAX,P.O. Box 1054,Madison,WI,53701,United States," 5,000.00 ",USD,19/12/2006,2006,"Project support for ""Project Girl,"" an arts-based program bringing together adolescent girls, artists, health care providers, academics and parents to learn about tools to deconsctruct and analyze messages imbedded in commercial media","Arts for Social Change, Girls","Dane County, WI",Arts Wisconsin 12/19/2006,,http://www.artswisconsin.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuH2,Arts Wisconsin,360G-quixote-0064000000CWClSAAX,P.O. Box 1054,Madison,WI,53701,United States," 25,000.00 ",USD,21/07/2007,2007,"Project support for ""Project Girl,"" an arts-based program bringing together adolescent girls, artists, health care providers, academics and parents to learn about tools to deconsctruct and analyze messages imbedded in commercial media","Arts for Social Change, Girls","Dane County, WI",Arts Wisconsin 7/21/2007,,http://www.artswisconsin.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000001CzOSC,ArtSpot Productions,360G-quixote-0064000000Z0TmYAAV,609 Saint Ferdinand,New Orleans,LA,70117,United States," 5,000.00 ",USD,07/08/2014,2014,Project Support for the Cry You One Tour,"Environmental Equity, Arts for Social Change","New Orleans, LA",ArtSpot Productions 2014 Grant,,http://www.artspotproductions.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000001YugB6,Association of Black Foundation Executives,360G-quixote-0063300000kufPeAAI,"333 Seventh Avenue, 14th Floor",New York,NY,10001,United States," 15,000.00 ",USD,01/02/2017,2017,General operating support,"Racial Equity, Philanthropy, Women's Leadership",U.S.,Association of Black Foundation Executives 2017 Exit Grant,,http://www.abfe.org/,,12/04/2019 16:41
